Status @ 0 s: INITIALIZING, est. queue position: None
Status @ 14 s: QUEUED, est. queue position: 22
Status @ 28 s: QUEUED, est. queue position: 22
Status @ 42 s: QUEUED, est. queue position: 22
Status @ 55 s: QUEUED, est. queue position: 22
Status @ 69 s: QUEUED, est. queue position: 22
Status @ 83 s: QUEUED, est. queue position: 22
Status @ 96 s: QUEUED, est. queue position: 22
Status @ 109 s: QUEUED, est. queue position: 22
Status @ 123 s: QUEUED, est. queue position: 22
Status @ 141 s: QUEUED, est. queue position: 22
Status @ 156 s: RUNNING, est. queue position: 0
Status @ 170 s: QUEUED, est. queue position: 21
Status @ 183 s: QUEUED, est. queue position: 19
Status @ 196 s: QUEUED, est. queue position: 18
Status @ 210 s: QUEUED, est. queue position: 18
Status @ 224 s: QUEUED, est. queue position: 18
Status @ 238 s: QUEUED, est. queue position: 18
Status @ 251 s: QUEUED, est. queue position: 18
Status @ 264 s: QUEUED, est. queue position: 18
Status @ 279 s: QUEUED, est. queue position: 18
Status @ 292 s: QUEUED, est. queue position: 18
Status @ 306 s: QUEUED, est. queue position: 18
Status @ 320 s: QUEUED, est. queue position: 18
Status @ 333 s: QUEUED, est. queue position: 18
Status @ 347 s: QUEUED, est. queue position: 18
Status @ 360 s: QUEUED, est. queue position: 18
Status @ 374 s: QUEUED, est. queue position: 18
Status @ 387 s: QUEUED, est. queue position: 18
Status @ 401 s: QUEUED, est. queue position: 18
Status @ 420 s: QUEUED, est. queue position: 18
Status @ 435 s: QUEUED, est. queue position: 18
Status @ 448 s: QUEUED, est. queue position: 18
Status @ 461 s: QUEUED, est. queue position: 17
Status @ 476 s: QUEUED, est. queue position: 17
Status @ 489 s: QUEUED, est. queue position: 15
Status @ 504 s: QUEUED, est. queue position: 14
Status @ 518 s: QUEUED, est. queue position: 13
Status @ 531 s: QUEUED, est. queue position: 13
Status @ 544 s: QUEUED, est. queue position: 11
Status @ 558 s: QUEUED, est. queue position: 10
Status @ 571 s: QUEUED, est. queue position: 8
Status @ 585 s: QUEUED, est. queue position: 8
Status @ 598 s: QUEUED, est. queue position: 7
Status @ 611 s: QUEUED, est. queue position: 7
Status @ 624 s: QUEUED, est. queue position: 7
Status @ 637 s: QUEUED, est. queue position: 7
Status @ 651 s: QUEUED, est. queue position: 7
Status @ 664 s: QUEUED, est. queue position: 7
Status @ 678 s: QUEUED, est. queue position: 7
Status @ 691 s: QUEUED, est. queue position: 7
Status @ 705 s: QUEUED, est. queue position: 7
Status @ 719 s: QUEUED, est. queue position: 7
Status @ 733 s: QUEUED, est. queue position: 7
Status @ 747 s: QUEUED, est. queue position: 7
Status @ 761 s: QUEUED, est. queue position: 7
Status @ 773 s: QUEUED, est. queue position: 7
Status @ 787 s: QUEUED, est. queue position: 7
Status @ 801 s: QUEUED, est. queue position: 7
Status @ 814 s: QUEUED, est. queue position: 7
Status @ 827 s: QUEUED, est. queue position: 7
Status @ 840 s: QUEUED, est. queue position: 7
Status @ 853 s: QUEUED, est. queue position: 7
Status @ 866 s: QUEUED, est. queue position: 7
Status @ 880 s: QUEUED, est. queue position: 7
Status @ 893 s: QUEUED, est. queue position: 7
Status @ 907 s: QUEUED, est. queue position: 7
Status @ 920 s: QUEUED, est. queue position: 7
Status @ 934 s: QUEUED, est. queue position: 7
Status @ 948 s: QUEUED, est. queue position: 7
Status @ 960 s: QUEUED, est. queue position: 7
Status @ 974 s: QUEUED, est. queue position: 7
Status @ 987 s: QUEUED, est. queue position: 7
Status @ 1001 s: QUEUED, est. queue position: 7
Status @ 1014 s: QUEUED, est. queue position: 7
Status @ 1028 s: QUEUED, est. queue position: 7
Status @ 1042 s: QUEUED, est. queue position: 7
Status @ 1056 s: QUEUED, est. queue position: 6
Status @ 1069 s: QUEUED, est. queue position: 6
Status @ 1082 s: QUEUED, est. queue position: 6
Status @ 1096 s: QUEUED, est. queue position: 6
Status @ 1109 s: QUEUED, est. queue position: 6
Status @ 1123 s: QUEUED, est. queue position: 6
Status @ 1137 s: QUEUED, est. queue position: 6
Status @ 1150 s: QUEUED, est. queue position: 6
Status @ 1164 s: QUEUED, est. queue position: 6
Status @ 1177 s: QUEUED, est. queue position: 6
Status @ 1190 s: QUEUED, est. queue position: 6
Status @ 1204 s: QUEUED, est. queue position: 6
Status @ 1218 s: QUEUED, est. queue position: 6
Status @ 1230 s: QUEUED, est. queue position: 6
Status @ 1244 s: QUEUED, est. queue position: 6
Status @ 1257 s: QUEUED, est. queue position: 6
Status @ 1271 s: QUEUED, est. queue position: 6
Status @ 1285 s: QUEUED, est. queue position: 6
Status @ 1299 s: QUEUED, est. queue position: 6
Status @ 1312 s: QUEUED, est. queue position: 6
Status @ 1326 s: QUEUED, est. queue position: 6
Status @ 1339 s: QUEUED, est. queue position: 6
Status @ 1352 s: QUEUED, est. queue position: 6
Status @ 1366 s: QUEUED, est. queue position: 6
Status @ 1380 s: QUEUED, est. queue position: 6
